"","r","scale","domain","alpha","depth","model"
"222",0.583848454667244,"bad_terrible","album",4.4,1,"2"
"223",0.458310870955495,"bad_terrible","album",4.4,2,"2"
"224",0.361902772712214,"bad_terrible","album",4.4,3,"2"
"225",0.151273529989501,"bad_terrible","album",4.4,4,"2"
"226",0.86827429110619,"bad_terrible","album",4.5,0,"2"
"227",0.585114447500284,"bad_terrible","album",4.5,1,"2"
"228",0.473955295232995,"bad_terrible","album",4.5,2,"2"
"229",0.426830022753371,"bad_terrible","album",4.5,3,"2"
"230",0.251663506499652,"bad_terrible","album",4.5,4,"2"
"231",0.86827429110619,"bad_terrible","album",4.6,0,"2"
"232",0.586304091973459,"bad_terrible","album",4.6,1,"2"
"233",0.488864062673783,"bad_terrible","album",4.6,2,"2"
"234",0.486892018415389,"bad_terrible","album",4.6,3,"2"
"235",0.47973572156899,"bad_terrible","album",4.6,4,"2"
"236",0.86827429110619,"bad_terrible","album",4.7,0,"2"
"237",0.587421049310146,"bad_terrible","album",4.7,1,"2"
"238",0.502829418462156,"bad_terrible","album",4.7,2,"2"
"239",0.532552043260031,"bad_terrible","album",4.7,3,"2"
"240",0.58096146964625,"bad_terrible","album",4.7,4,"2"
"241",0.86827429110619,"bad_terrible","album",4.8,0,"2"
"242",0.588468854833077,"bad_terrible","album",4.8,1,"2"
"243",0.515691816218943,"bad_terrible","album",4.8,2,"2"
"244",0.561696334542811,"bad_terrible","album",4.8,3,"2"
"245",0.5926560858078,"bad_terrible","album",4.8,4,"2"
"246",0.86827429110619,"bad_terrible","album",4.9,0,"2"
"247",0.58945091691855,"bad_terrible","album",4.9,1,"2"
"248",0.527347233704276,"bad_terrible","album",4.9,2,"2"
"249",0.578059041411467,"bad_terrible","album",4.9,3,"2"
"250",0.593413514079953,"bad_terrible","album",4.9,4,"2"
"251",0.86827429110619,"bad_terrible","album",5,0,"2"
"252",0.590370516752274,"bad_terrible","album",5,1,"2"
"253",0.537748051990766,"bad_terrible","album",5,2,"2"
"254",0.586462852074683,"bad_terrible","album",5,3,"2"
"255",0.593441220524545,"bad_terrible","album",5,4,"2"
"256",0.86827429110619,"bad_terrible","album",5.1,0,"2"
"257",0.591230808788148,"bad_terrible","album",5.1,1,"2"
"258",0.546898170476982,"bad_terrible","album",5.1,2,"2"
"259",0.590480795669405,"bad_terrible","album",5.1,3,"2"
"260",0.593441776440032,"bad_terrible","album",5.1,4,"2"
"261",0.86827429110619,"bad_terrible","album",5.2,0,"2"
"262",0.592034821818199,"bad_terrible","album",5.2,1,"2"
"263",0.554844017272335,"bad_terrible","album",5.2,2,"2"
"264",0.592271976241525,"bad_terrible","album",5.2,3,"2"
"265",0.593441782555615,"bad_terrible","album",5.2,4,"2"
"266",0.86827429110619,"bad_terrible","album",5.3,0,"2"
"267",0.592785460568834,"bad_terrible","album",5.3,1,"2"
"268",0.561663517978422,"bad_terrible","album",5.3,2,"2"
"269",0.593013315095215,"bad_terrible","album",5.3,3,"2"
"270",0.593441782592366,"bad_terrible","album",5.3,4,"2"
"271",0.86827429110619,"bad_terrible","album",5.4,0,"2"
"272",0.593485507745554,"bad_terrible","album",5.4,1,"2"
"273",0.567454925951023,"bad_terrible","album",5.4,2,"2"
"274",0.593296809701856,"bad_terrible","album",5.4,3,"2"
"275",0.593441782592484,"bad_terrible","album",5.4,4,"2"
"276",0.86827429110619,"bad_terrible","album",5.5,0,"2"
"277",0.594137626455046,"bad_terrible","album",5.5,1,"2"
"278",0.572326894782129,"bad_terrible","album",5.5,2,"2"
"279",0.593396596358166,"bad_terrible","album",5.5,3,"2"
"280",0.593441782592485,"bad_terrible","album",5.5,4,"2"
"281",0.86827429110619,"bad_terrible","album",5.6,0,"2"
"282",0.594744362940209,"bad_terrible","album",5.6,1,"2"
"283",0.576390539720088,"bad_terrible","album",5.6,2,"2"
"284",0.593428836775542,"bad_terrible","album",5.6,3,"2"
"285",0.593441782592485,"bad_terrible","album",5.6,4,"2"
"286",0.86827429110619,"bad_terrible","album",5.7,0,"2"
"287",0.595308149569962,"bad_terrible","album",5.7,1,"2"
"288",0.579753682860715,"bad_terrible","album",5.7,2,"2"
"289",0.593438379255381,"bad_terrible","album",5.7,3,"2"
"290",0.593441782592485,"bad_terrible","album",5.7,4,"2"
"291",0.86827429110619,"bad_terrible","album",5.8,0,"2"
"292",0.595831308031717,"bad_terrible","album",5.8,1,"2"
"293",0.58251710159395,"bad_terrible","album",5.8,2,"2"
"294",0.593440962770091,"bad_terrible","album",5.8,3,"2"
"295",0.593441782592485,"bad_terrible","album",5.8,4,"2"
"296",0.86827429110619,"bad_terrible","album",5.9,0,"2"
"297",0.596316052679996,"bad_terrible","album",5.9,1,"2"
"298",0.584772408632639,"bad_terrible","album",5.9,2,"2"
"299",0.593441601851383,"bad_terrible","album",5.9,3,"2"
"300",0.593441782592485,"bad_terrible","album",5.9,4,"2"
"301",0.86827429110619,"bad_terrible","album",6,0,"2"
"302",0.596764494000013,"bad_terrible","album",6,1,"2"
"303",0.586601143099479,"bad_terrible","album",6,2,"2"
"304",0.593441746162345,"bad_terrible","album",6,3,"2"
"305",0.593441782592485,"bad_terrible","album",6,4,"2"
"306",0.695611438453875,"liked_loved","album",0,0,"2"
"307",0.277964359127043,"liked_loved","album",0,1,"2"
"308",0.277964359127043,"liked_loved","album",0,2,"2"
"309",0.277964359127043,"liked_loved","album",0,3,"2"
"310",0.277964359127043,"liked_loved","album",0,4,"2"
"311",0.695611438453875,"liked_loved","album",0.1,0,"2"
"312",0.306393406635828,"liked_loved","album",0.1,1,"2"
"313",0.274359403327632,"liked_loved","album",0.1,2,"2"
"314",0.272126060653111,"liked_loved","album",0.1,3,"2"
"315",0.271920699545128,"liked_loved","album",0.1,4,"2"
"316",0.695611438453875,"liked_loved","album",0.2,0,"2"
"317",0.333384626392018,"liked_loved","album",0.2,1,"2"
"318",0.27481504802217,"liked_loved","album",0.2,2,"2"
"319",0.267117383603293,"liked_loved","album",0.2,3,"2"
"320",0.265722391134253,"liked_loved","album",0.2,4,"2"
"321",0.695611438453875,"liked_loved","album",0.3,0,"2"
"322",0.357862127608418,"liked_loved","album",0.3,1,"2"
"323",0.278632877066109,"liked_loved","album",0.3,2,"2"
"324",0.263899709522191,"liked_loved","album",0.3,3,"2"
"325",0.259990577901901,"liked_loved","album",0.3,4,"2"
"326",0.695611438453875,"liked_loved","album",0.4,0,"2"
"327",0.3791134527102,"liked_loved","album",0.4,1,"2"
"328",0.285086716887866,"liked_loved","album",0.4,2,"2"
"329",0.263073916389579,"liked_loved","album",0.4,3,"2"
"330",0.255598694650252,"liked_loved","album",0.4,4,"2"
"331",0.695611438453875,"liked_loved","album",0.5,0,"2"
"332",0.396862348090759,"liked_loved","album",0.5,1,"2"
"333",0.293417643692759,"liked_loved","album",0.5,2,"2"
"334",0.264802625616184,"liked_loved","album",0.5,3,"2"
"335",0.253440757534624,"liked_loved","album",0.5,4,"2"
"336",0.695611438453875,"liked_loved","album",0.6,0,"2"
"337",0.411211788092746,"liked_loved","album",0.6,1,"2"
"338",0.302812606628055,"liked_loved","album",0.6,2,"2"
"339",0.268747561999691,"liked_loved","album",0.6,3,"2"
